word,meanings,meaningsByBook,usphone,ukphone,bookIds,semanticDomainId,semanticPath,semanticConfidence,reviewRequired
"boat","小船；轮船 | 划船 | n. 小船；轮船 | vi. 划船 | n. 小船，小舟","{""chuzhong"":[""小船；轮船"",""划船""],""zhongkao"":[""n. 小船；轮船"",""vi. 划船""],""gaokao"":[""n. 小船，小舟""]}","bot","bəʊt","chuzhong | zhongkao | gaokao","relation","因果与关系 › 原因·结果·连接 › boat","0.2","true"
"group","组；团体 | 群的；团体的 | 聚合 | n. 组；团体 | adj. 群的；团体的 | vt. 把…聚集；把…分组 | vi. 聚合 | n. 组，群","{""chuzhong"":[""组；团体"",""群的；团体的"",""聚合""],""zhongkao"":[""n. 组；团体"",""adj. 群的；团体的"",""vt. 把…聚集；把…分组"",""vi. 聚合""],""gaokao"":[""n. 组，群""],""bec2"":[""组；团体"",""群的；团体的"",""聚合""]}","ɡrup","gruːp","chuzhong | zhongkao | gaokao | bec2","society","社会与个体 › 社会·群体·个体 › group","0.67","false"
"nineteen","num. 十九 | 十九","{""chuzhong"":[""十九""],""zhongkao"":[""num. 十九""],""gaokao"":[""num. 十九""]}",",naɪn'tin","naɪn'tiːn; 'naɪntiːn","chuzhong | zhongkao | gaokao","relation","因果与关系 › 原因·结果·连接 › nineteen","0.2","true"
"party","政党，党派；聚会，派对；当事人 [复数 parties] | 参加社交聚会 [ 过去式 partied 过去分词 partied 现在分词 partying ] | n. 政党，党派；聚会，派对；当事人 | vi. 参加社交聚会 | n. 聚会，晚会；党派","{""chuzhong"":[""政党，党派；聚会，派对；当事人 [复数 parties]"",""参加社交聚会 [ 过去式 partied 过去分词 partied 现在分词 partying ]""],""zhongkao"":[""n. 政党，党派；聚会，派对；当事人"",""vi. 参加社交聚会""],""gaokao"":[""n. 聚会，晚会；党派""]}","'pɑrti","'pɑːtɪ","chuzhong | zhongkao | gaokao","society","社会与个体 › 社会·群体·个体 › party","0.2","true"
"marriage","结婚；婚姻生活；密切结合，合并 | n. 结婚，婚姻 | 结婚， 婚姻； 婚礼","{""chuzhong"":[""结婚；婚姻生活；密切结合，合并""],""gaokao"":[""n. 结婚，婚姻""],""cet4"":[""结婚， 婚姻； 婚礼""],""kaoyan2024"":[""n.结婚；婚姻生活；密切结合，合并""],""bec2"":[""结婚；婚姻生活；密切结合，合并""]}","'mærɪdʒ","'mærɪdʒ","chuzhong | gaokao | cet4 | kaoyan2024 | bec2","cognition","认知与思维 › 感知·理解·记忆 › marriage","0.2","true"
"clean","清洁的，干净的；清白的 | 使干净 | 完全地 | 打扫 | n. 打扫 | adj. 清洁的，干净的；清白的 | vt. 使干净 | vi. 打扫，清扫 | adv. 完全地 | vt. 弄干净，擦干净 a. 清洁的，干净的","{""chuzhong"":[""清洁的，干净的；清白的"",""使干净"",""完全地"",""打扫""],""zhongkao"":[""n. 打扫"",""adj. 清洁的，干净的；清白的"",""vt. 使干净"",""vi. 打扫，清扫"",""adv. 完全地""],""gaokao"":[""vt. 弄干净，擦干净 a. 清洁的，干净的""],""bec2"":[""清洁的，干净的；清白的"",""使干净"",""完全地"",""打扫""]}","klin","kliːn","chuzhong | zhongkao | gaokao | bec2","quantity","程度·范围·数量 › 数量·范围·程度 › clean","0.2","true"
"bottle","瓶子；一瓶的容量 | 控制；把…装入瓶中 | n. 瓶子；一瓶的容量 | vt. 控制；把…装入瓶中 | vi. （街头艺人演出后）收拢钱币 | n. 瓶子","{""chuzhong"":[""瓶子；一瓶的容量"",""控制；把…装入瓶中""],""zhongkao"":[""n. 瓶子；一瓶的容量"",""vt. 控制；把…装入瓶中"",""vi. （街头艺人演出后）收拢钱币""],""gaokao"":[""n. 瓶子""]}","'bɑtl","'bɒt(ə)l","chuzhong | zhongkao | gaokao","relation","因果与关系 › 原因·结果·连接 › bottle","0.2","true"
"tail","尾巴；踪迹；辫子；燕尾服 | 尾随；装上尾巴 | 从后面而来的；尾部的 | n. 尾巴；踪迹；辫子；燕尾服 | adj. 从后面而来的；尾部的 | vt. 尾随；装上尾巴 | vi. 跟踪；变少或缩小 | n. (动物的)尾巴","{""chuzhong"":[""尾巴；踪迹；辫子；燕尾服"",""尾随；装上尾巴"",""从后面而来的；尾部的""],""zhongkao"":[""n. 尾巴；踪迹；辫子；燕尾服"",""adj. 从后面而来的；尾部的"",""vt. 尾随；装上尾巴"",""vi. 跟踪；变少或缩小""],""gaokao"":[""n. (动物的)尾巴""]}","tel","teɪl","chuzhong | zhongkao | gaokao","judgment","判断与评价 › 判断·价值·评价 › tail","0.2","true"
"very","恰好是，正是；甚至；十足的；特有的 | 非常，很；完全 | (Very)人名；(英)维里 | adv. 非常，很；完全 | adj. 恰好是，正是；甚至；十足的；特有的 | vad. 很，非常","{""chuzhong"":[""恰好是，正是；甚至；十足的；特有的"",""非常，很；完全"",""(Very)人名；(英)维里""],""zhongkao"":[""adv. 非常，很；完全"",""adj. 恰好是，正是；甚至；十足的；特有的""],""gaokao"":[""vad. 很，非常""]}","'vɛri","'verɪ","chuzhong | zhongkao | gaokao","time","时间与过程 › 时间·顺序·过程 › very","0.2","true"
"bag","袋；猎获物；（俚）一瓶啤酒 | 猎获；把…装入袋中；占据，私吞；使膨大 | n. 袋；猎获物；（俚）一瓶啤酒 | vt. 猎获；把…装入袋中；占据，私吞；使膨大 | vi. 松垂 | n. 书包；提包；袋子","{""chuzhong"":[""袋；猎获物；（俚）一瓶啤酒"",""猎获；把…装入袋中；占据，私吞；使膨大""],""zhongkao"":[""n. 袋；猎获物；（俚）一瓶啤酒"",""vt. 猎获；把…装入袋中；占据，私吞；使膨大"",""vi. 松垂""],""gaokao"":[""n. 书包；提包；袋子""]}","bæɡ","bæg","chuzhong | zhongkao | gaokao","time","时间与过程 › 时间·顺序·过程 › bag","0.2","true"
"tuesday","n. 星期二 | 星期二","{""chuzhong"":[""星期二""],""zhongkao"":[""n. 星期二""],""gaokao"":[""n. 星期二""]}","ˈtuzdi, -ˌde, ˈtjuz-","'tjuːzdeɪ; -dɪ","chuzhong | zhongkao | gaokao","time","时间与过程 › 时间·顺序·过程 › tuesday","0.67","false"
