word,meaning,proposed_domain,confidence,reason
"boat","小船；轮船 | 划船 | n. 小船；轮船 | vi. 划船 | n. 小船，小舟","relation","0.2","keyword rule did not produce a confident match"
"nineteen","num. 十九 | 十九","relation","0.2","keyword rule did not produce a confident match"
"party","政党，党派；聚会，派对；当事人 [复数 parties] | 参加社交聚会 [ 过去式 partied 过去分词 partied 现在分词 partying ] | n. 政党，党派；聚会，派对；当事人 | vi. 参加社交聚会 | n. 聚会，晚会；党派","society","0.2","keyword rule did not produce a confident match"
"marriage","结婚；婚姻生活；密切结合，合并 | n. 结婚，婚姻 | 结婚， 婚姻； 婚礼","cognition","0.2","keyword rule did not produce a confident match"
"clean","清洁的，干净的；清白的 | 使干净 | 完全地 | 打扫 | n. 打扫 | adj. 清洁的，干净的；清白的 | vt. 使干净 | vi. 打扫，清扫 | adv. 完全地 | vt. 弄干净，擦干净 a. 清洁的，干净的","quantity","0.2","keyword rule did not produce a confident match"
"bottle","瓶子；一瓶的容量 | 控制；把…装入瓶中 | n. 瓶子；一瓶的容量 | vt. 控制；把…装入瓶中 | vi. （街头艺人演出后）收拢钱币 | n. 瓶子","relation","0.2","keyword rule did not produce a confident match"
"tail","尾巴；踪迹；辫子；燕尾服 | 尾随；装上尾巴 | 从后面而来的；尾部的 | n. 尾巴；踪迹；辫子；燕尾服 | adj. 从后面而来的；尾部的 | vt. 尾随；装上尾巴 | vi. 跟踪；变少或缩小 | n. (动物的)尾巴","judgment","0.2","keyword rule did not produce a confident match"
"very","恰好是，正是；甚至；十足的；特有的 | 非常，很；完全 | (Very)人名；(英)维里 | adv. 非常，很；完全 | adj. 恰好是，正是；甚至；十足的；特有的 | vad. 很，非常","time","0.2","keyword rule did not produce a confident match"
"bag","袋；猎获物；（俚）一瓶啤酒 | 猎获；把…装入袋中；占据，私吞；使膨大 | n. 袋；猎获物；（俚）一瓶啤酒 | vt. 猎获；把…装入袋中；占据，私吞；使膨大 | vi. 松垂 | n. 书包；提包；袋子","time","0.2","keyword rule did not produce a confident match"
"cancel","取消；删去 | 取消，撤销 | vi. 取消，撤销 | vt. 取消；删去 | vi. 取消；相互抵消 | n. 取消，撤销 | vt. 取消 | 取消， 撤销； 删去 | 取消， 撤销， 删去 (vt.)","relation","0.2","keyword rule did not produce a confident match"
"map","映射；计划；绘制地图；确定基因在染色体中的位置 | 地图；示意图；染色体图 | vt. 映射；计划；绘制地图；确定基因在染色体中的位置 | n. 地图；示意图；染色体图 | vi. 基因被安置 | n. 地图","judgment","0.2","keyword rule did not produce a confident match"
"grandparent","祖父母；祖父或祖母；外祖父母；外祖父或外祖母 | n. 祖父母；祖父或祖母；外祖父母；外祖父或外祖母","time","0.2","keyword rule did not produce a confident match"
"moon","月亮；月球；月光；卫星 | 闲荡；出神 | n. 月亮；月球；月光；卫星 | vi. 闲荡；出神 | vt. 虚度 | n. 月球；月光；月状物","economy","0.2","keyword rule did not produce a confident match"
"be","是； 有，存在； 做，成为； 发生 | (Be)人名；(缅)拜；(日)部(姓)；(朝)培；(中非)贝 | vt. 是； 有，存在； 做，成为； 发生 | v. 是（原形）,其人称和时态形式有(am, is, are, was, were, being, been)；成为","state","0.2","keyword rule did not produce a confident match"
"america","美洲（包括北美和南美洲）；美国 | n. 美洲（包括北美和南美洲）；美国 | * n. 美国；美洲","relation","0.2","keyword rule did not produce a confident match"
"need","需要，要求；缺乏；必要之物 | 需要 | n. 需要，要求；缺乏；必要之物 | vt. 需要 | vi. 需要 | n. 需要,需求aux.& v.需要,必须","control","0.2","keyword rule did not produce a confident match"
"new","新的，新鲜的；更新的；初见的 | 新近 | (New)人名；(英)纽 | adj. 新的，新鲜的；更新的；初见的 | adv. 新近 | a. 新的；新鲜的","judgment","0.2","keyword rule did not produce a confident match"
"stamp","邮票；印记；标志；跺脚 | 铭记；标出；盖章于…；贴邮票于…；用脚踩踏 | n. 邮票；印记；标志；跺脚 | vt. 铭记；标出；盖章于…；贴邮票于…；用脚踩踏 | vi. 跺脚；捣碎；毁掉 | n. 邮票","economy","0.2","keyword rule did not produce a confident match"
"without","没有；超过；在…外面 | 户外；在外面；没有或不显示某事物 | 外部；外面 | prep. 没有；超过；在…外面 | n. 外部；外面 | adv. 户外；在外面；没有或不显示某事物 | prep. 没有","society","0.2","keyword rule did not produce a confident match"
"quick","核心；伤口的嫩肉 | 快的；迅速的，敏捷的；灵敏的 | 迅速地，快 | n. 核心；伤口的嫩肉 | adj. 快的；迅速的，敏捷的；灵敏的 | adv. 迅速地，快 | a. 快；敏捷的；急剧的 ad. 快地；敏捷地；急剧地","expression","0.2","keyword rule did not produce a confident match"
"joke","玩笑，笑话；笑柄 | 开…的玩笑 | n. 玩笑，笑话；笑柄 | vt. 开…的玩笑 | vi. 开玩笑 | n. 笑话","action","0.2","keyword rule did not produce a confident match"
"table","桌子；表格；平地层 | 制表；搁置；嵌合 | 桌子的 | n. 桌子；表格；平地层 | vt. 制表；搁置；嵌合 | adj. 桌子的 | n. 桌子，表格","control","0.2","keyword rule did not produce a confident match"
"its","pron. 它的 | 它的 | (Its)人名；(俄)伊茨","cognition","0.2","keyword rule did not produce a confident match"
"check","检查，核对；制止，抑制；在…上打勾 | <美>支票；制止，抑制；检验，核对 | n. <美>支票；制止，抑制；检验，核对 | vi. 核实，查核；中止；打勾；将一军 | vt. 检查，核对；制止，抑制；在…上打勾 | n. 检查；批改 vt. 校对，核对； 检查；批改","judgment","0.2","keyword rule did not produce a confident match"
"giraffe","长颈鹿 | n. 长颈鹿","control","0.2","keyword rule did not produce a confident match"
"picture","照片，图画；影片；景色；化身 | 画；想像；描写 | n. 照片，图画；影片；景色；化身 | vt. 画；想像；描写 | n. 图片，画片，照片","society","0.2","keyword rule did not produce a confident match"
"kiss","吻；（风等）轻拂 | 吻；轻拂 | vt. 吻；（风等）轻拂 | vi. 接吻；（风等）轻触 | n. 吻；轻拂 | n.& vt. 吻，亲吻","time","0.2","keyword rule did not produce a confident match"
"several","几个的；各自的 | 几个；数个 | adj. 几个的；各自的 | pron. 几个；数个 | pron. 几个,数个 a.若干","time","0.2","keyword rule did not produce a confident match"
"monitor","监视器；监听器；监控器；显示屏；班长 | 监控 | n. 监视器；监听器；监控器；显示屏；班长 | vt. 监控 | n. （班级内的）班长；纠察生；监视器 | 班长；监视器，检测器；显示器 | 监听； 检测 | 班长；监视器，检测器；显示器 (n.) | 监听， 检测 (vt.)","society","0.2","keyword rule did not produce a confident match"
"culture","文化，文明；修养；栽培 | [细胞][微] 培养（等于cultivate） | n. 文化，文明；修养；栽培 | vt. 培养（等于cultivate） | n. 文化 | 文化， 文明； 教养； 培养； 培养菌 | 文化， 文明； 教养； 培养； 培养菌 (n.)","control","0.2","keyword rule did not produce a confident match"
"taxi","n. 出租汽车 | 乘出租车；滑行 | 出租汽车 | vt. 使滑行；用出租车送 | vi. 乘出租车；滑行","judgment","0.2","keyword rule did not produce a confident match"
"health","健康；卫生；保健；兴旺 | n. 健康；卫生；保健；兴旺 | n. 健康，卫生","judgment","0.2","keyword rule did not produce a confident match"
"dialogue","对话；意见交换 | 对话 | 用对话表达 | n. 对话；意见交换 | vt. 用对话表达 | vi. 对话 | n. 对话【英】","relation","0.2","keyword rule did not produce a confident match"
"recent","最近的；近代的 | adj. 最近的；近代的 | a. 近来的，最近的","action","0.2","keyword rule did not produce a confident match"
"ten","十个，十 | (Ten)人名；(英)坦恩；(意)泰恩；(柬)登 | num. 十个，十 | num. 十","change","0.2","keyword rule did not produce a confident match"
"blue","蓝色的；沮丧的，忧郁的；下流的 | 把…染成蓝色；使成蓝色；给…用上蓝剂；用上蓝剂于 | 蓝色；[复数]（美国海、陆、空三军穿的）蓝色制服；蓝颜料；[the blue(s)][用作单数或复数]布鲁斯（歌曲）（一种伤感的美国黑人民歌） | adj. 蓝色的；沮丧的，忧郁的；下流的 | n. 蓝色；（美国海、陆、空三军穿的）蓝色制服；蓝颜料；布鲁斯（歌曲）（一种伤感的美国黑人民歌 | vi. 变成蓝色，呈蓝色 | vt. 把…染成蓝色；使成蓝色；给…用上蓝剂；用上蓝剂于 | n. 蓝色 a.蓝色的 a. 悲伤的；沮丧的","control","0.2","keyword rule did not produce a confident match"
"dark","黑暗的，深色的；模糊的；无知的；忧郁的 | 黑暗；夜；黄昏；模糊 | n. 黑暗；夜；黄昏；模糊 | adj. 黑暗的，深色的；模糊的；无知的；忧郁的 | n. 黑暗；暗处；日暮 a. 黑暗的；暗淡的；深色的","time","0.2","keyword rule did not produce a confident match"
"order","命令；顺序；规则；[贸易] 定单 | 命令；整理；定购 | n. 命令；顺序；规则； 定单 | vt. 命令；整理；定购 | vi. 命令；定货 | n. 顺序","cognition","0.2","keyword rule did not produce a confident match"
"egg","蛋；卵子；家伙；鸡蛋 | 煽动；怂恿 | n. 蛋；卵子；家伙；鸡蛋 | vt. 煽动；怂恿 | n. 蛋；卵","state","0.2","keyword rule did not produce a confident match"
"feeling","感觉，触觉；感情，情绪；同情 | 有感觉的；有同情心的；富于感情的 | 感觉；认为（feel的现在分词）；触摸 | n. 感觉，触觉；感情，情绪；同情 | v. 感觉；认为（feel的现在分词）；触摸 | adj. 有感觉的；有同情心的；富于感情的 | n. 感情；感觉","time","0.2","keyword rule did not produce a confident match"
